,Территория,Год,НС,НС%,Больные ЗППП_ingroup,Обследованные беременные_ingroup,"Обследованные лица, находящиеся в местах лишения свободы_ingroup",Обследованные по клиническим показаниям_ingroup,Обследованные при эпидемиологическом расследовании_ingroup,Потребители инъекционных наркотиков_ingroup,Прочие контингенты_ingroup,Больные ЗППП_bwgroup,Обследованные беременные_bwgroup,"Обследованные лица, находящиеся в местах лишения свободы_bwgroup",Обследованные по клиническим показаниям_bwgroup,Обследованные при эпидемиологическом расследовании_bwgroup,Потребители инъекционных наркотиков_bwgroup,Прочие контингенты_bwgroup,М,Ж,Количество уголовных дел в сфере оборота наркотиков,ст. 6.8 КоАП России,ст. 6.9 КоАП России,Доля городского населения в общей численности населения на 1 января,Принято студентов в ВУЗы,Число новых случаев наркомании на 100 тыс.,Безработица по МОТ,Валовой региональный продукт на душу населения,Введено общей площади жилых домов,0-15 лет,15-19 лет,>= 70 лет,20-29 лет,30-39 лет,40-49 лет,50-59 лет,60-69 лет,Доля населения с доходами ниже МРОТ
1106,Кабардино-Балкарская Республика,2012-01-01,69,8.03,0.003787878787878788,8.511906028557445e-05,0.003371868978805395,0.00039680367795960815,0.1111111111111111,0.003148897885739991,8.72572941558735e-05,0.10762331838565023,0.07174887892376682,0.12556053811659193,0.5201793721973094,0.03587443946188341,0.12556053811659193,0.013452914798206279,401206,457740,1089.0,65.0,269.0,54.3,3739,17.2,8.9,124226.6,103.3,20.7,7.0,7.800000000000001,18.799999999999997,13.8,14.0,13.0,6.199999999999999,14.2
1107,Калининградская область,2012-01-01,408,42.73,0.006234413965087282,0.001088762821614807,0.02717900656044986,0.005545487495469373,0.10093457943925234,0.03195488721804511,0.05097083685644521,0.042796005706134094,0.10841654778887304,0.08273894436519258,0.43651925820256776,0.15406562054208273,0.09700427960057062,0.07845934379457917,448194,506579,690.0,153.0,364.0,77.5,5771,3.7,7.4,279096.9,106.8,15.7,5.5,9.5,17.0,15.100000000000001,13.899999999999999,15.3,8.9,10.8
1108,Калужская область,2012-01-01,185,18.4,0.00196078431372549,0.0006515011672729246,0.011704119850187267,0.0008075098415261935,0.0457516339869281,0.003127443315089914,0.00041253901255728905,0.10101010101010101,0.16161616161616163,0.16835016835016836,0.32323232323232326,0.1414141414141414,0.026936026936026935,0.07744107744107744,462857,542728,,,,75.9,4845,6.6,4.3,283299.9,102.4,14.5,4.8,11.8,15.9,14.5,13.7,16.2,9.5,8.5
1109,Камчатский край,2012-01-01,36,11.23,0.0019398642095053346,0.00021561017680034498,0.0038022813688212928,0.0002937985897667691,0.02717391304347826,0.0,0.0005571030640668524,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.4642857142857143,0.17857142857142858,0.0,0.10714285714285714,160162,160387,330.0,43.0,534.0,77.5,1451,12.8,5.8,397725.9,105.2,17.4,5.2,5.300000000000001,17.3,17.1,15.0,15.0,8.8,17.8
1110,Карачаево-Черкесская Республика,2012-01-01,29,6.15,0.0,6.4e-05,0.009433962264150943,0.0003763643206624012,0.051470588235294115,0.007352941176470588,5.666525003541578e-05,0.0,0.05128205128205128,0.15384615384615385,0.20512820512820512,0.358974358974359,0.20512820512820512,0.02564102564102564,217991,253856,471.0,30.0,292.0,43.1,2572,4.6,8.9,124058.6,106.5,20.4,6.5,8.8,17.4,14.2,13.8,13.8,6.3,16.0
1111,Кемеровская область,2012-01-01,6110,222.79,0.009862042218405451,0.004887203346756852,0.11104605776736924,0.013845006143584342,0.0837093511747316,0.09028243178554332,0.0853524034434826,0.064874715261959,0.09111617312072894,0.31107061503416855,0.22997722095671982,0.09804100227790433,0.17184510250569476,0.0330751708428246,1257442,1485008,3335.0,384.0,3270.0,85.4,17463,24.6,7.1,261527.1,100.3,17.6,5.1,9.3,16.4,15.4,12.5,16.0,8.7,10.6
1112,Кировская область,2012-01-01,119,9.02,0.0011407711613050423,0.00019563728846718183,0.0031675051239053475,0.0006979730861577978,0.024822695035460994,0.00916030534351145,0.013576534884767021,0.12539184952978055,0.10031347962382445,0.21316614420062696,0.31347962382445144,0.0877742946708464,0.07523510971786834,0.08463949843260188,606595,712481,712.0,110.0,659.0,74.5,8374,1.6,7.1,157541.4,100.3,15.6,4.7,11.2,15.1,14.4,13.0,17.700000000000003,9.2,12.4
1113,Костромская область,2012-01-01,169,25.65,0.0012345679012345679,0.0009291089844838799,0.009134406263592866,0.006096498867793067,0.054187192118226604,0.03383458646616541,0.0003178612471839823,0.014760147601476014,0.14760147601476015,0.15498154981549817,0.25830258302583026,0.16236162361623616,0.1992619926199262,0.06273062730627306,300883,358023,,,,70.2,3445,13.6,4.8,198142.5,130.9,16.1,4.8,11.600000000000001,15.0,14.2,13.5,16.8,8.8,15.1
1114,Краснодарский край,2012-01-01,1409,26.43,0.0028052676692901114,0.0008323469481512709,0.022502009107956068,0.0024154731676279463,0.06466043106954046,0.013603069410533658,0.08456606870619902,0.031907821847994684,0.13649457123864392,0.14890316862397518,0.3633946377132728,0.1409262131619765,0.10370042100598272,0.07467316640815422,2473117,2857064,7109.0,1367.0,10454.0,53.3,28910,6.0,5.6,274995.7,118.4,16.6,5.5,11.1,16.0,14.8,13.2,14.7,9.1,11.2
1115,Красноярский край,2012-01-01,1891,66.43,0.0042605383771222,0.0009035430738239128,0.016245068461359945,0.004192821012858797,0.0426738287078484,0.0413020113618916,0.009378561504809002,0.047269471799462844,0.0873769024171889,0.20053715308863027,0.24637421665174575,0.10241718889883616,0.19265890778871977,0.1233661593554163,1327928,1518547,4080.0,315.0,2367.0,76.5,25362,20.9,5.5,416272.7,102.8,17.4,5.6,8.200000000000001,17.5,15.8,13.3,15.2,7.8999999999999995,15.6
1116,Курганская область,2012-01-01,835,94.27,0.004577569907453478,0.0017058763621550057,0.026424870466321245,0.004488330341113106,0.04322377307519135,0.13539553752535496,0.0010092906114663903,0.06178643384822028,0.08999328408327736,0.06850235057085292,0.2619207521826729,0.12894560107454667,0.35862995298858297,0.03022162525184688,406546,479213,986.0,95.0,460.0,60.4,4995,16.8,8.7,163909.9,136.9,17.0,5.0,11.600000000000001,14.7,13.7,13.1,16.6,9.2,15.6
1117,Курская область,2012-01-01,123,10.99,0.0009124844462878474,0.00030003692762186116,0.004424778761061947,0.000486246179494304,0.03359173126614987,0.010856453558504222,0.00014565808813743247,0.10304449648711944,0.12177985948477751,0.08430913348946135,0.45901639344262296,0.12177985948477751,0.08430913348946135,0.02576112412177986,507303,611959,,,,65.9,8278,10.1,5.1,221537.3,108.1,15.1,5.2,12.4,14.6,13.8,13.9,16.7,9.3,8.2
1118,Ленинградская область,2012-01-01,1494,85.32,0.017891373801916934,0.0029243232562734638,0.05070422535211268,0.0080051364015136,0.041157556270096464,0.05588822355289421,0.0012240647607215348,0.05653710247349823,0.14941948510853104,0.03634528016153458,0.5916203937405351,0.0646138313982837,0.05653710247349823,0.044926804644119134,820656,930479,1380.0,180.0,603.0,65.4,2423,10.7,3.2,385686.5,106.8,13.8,4.5,10.999999999999998,16.6,15.3,13.4,16.6,9.6,11.9
1119,Липецкая область,2012-01-01,78,6.71,0.0003955174686882004,0.0002664890073284477,0.003732736095558044,0.000545439288411513,0.014164305949008499,0.0016463615409944023,0.01569778041299707,0.045627376425855515,0.12167300380228137,0.3041825095057034,0.19771863117870722,0.1520912547528517,0.07604562737642585,0.10266159695817491,530015,632220,,,,63.9,5899,9.3,3.6,251960.8,105.9,15.2,5.0,11.9,15.1,14.1,14.0,16.299999999999997,9.3,8.4
1120,Магаданская область,2012-01-01,40,26.25,0.0008532423208191126,0.0004257130693912303,0.00532319391634981,0.0012303906490310674,0.06557377049180328,0.03278688524590164,0.000156747513062166,0.05263157894736842,0.05263157894736842,0.18421052631578946,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.02631578947368421,73956,78402,224.0,10.0,109.0,95.7,928,19.4,3.4,511125.4,110.2,17.1,4.8,4.3,15.9,17.5,15.0,17.6,8.7,11.3
1121,Московская область,2012-01-01,2651,37.61,0.006046796950311103,0.001801284810227472,0.026894621075784844,0.0049121823025741465,0.06312589413447782,0.04239321708526636,0.13137465242740087,0.0266950382048554,0.1311538833542896,0.10407196053776961,0.4201566882677242,0.13657026791759358,0.10252442209111133,0.07882773962665635,3253870,3794214,,,,80.1,18348,16.2,2.9,336650.6,87.3,11.5,4.7,10.7,16.6,16.2,14.0,15.2,9.0,6.9
1122,Мурманская область,2012-01-01,346,44.34,0.0030349013657056147,0.000844649470469755,0.02734988997170701,0.002051481385505744,0.04621072088724584,0.042152466367713005,0.18777283195400543,0.0427807486631016,0.07944996180290298,0.26585179526355995,0.2902979373567609,0.15278838808250572,0.1436210847975554,0.025210084033613446,373287,407114,1050.0,86.0,361.0,92.7,3418,25.1,7.7,361968.4,104.9,16.6,5.0,6.6,17.1,16.9,14.8,16.0,8.0,11.1
1123,Ненецкий АО,2012-01-01,1,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20847,21942,29.0,14.0,33.0,69.1,,11.8,6.9,3685897.1,110.0,22.9,5.8,4.800000000000001,16.3,16.200000000000003,13.8,15.100000000000001,6.3999999999999995,6.5
1124,Нижегородская область,2012-01-01,1806,54.9,0.002910403772472738,0.0017617244173120043,0.024129930394431554,0.0017408652716635663,0.10902555910543131,0.04987768415330253,0.013883285750900429,0.04979514654900725,0.11786952410967538,0.09832965647652064,0.2849038764576111,0.1720768988339111,0.23132682004412228,0.04569807752915222,1489011,1800830,1779.0,259.0,2939.0,79.0,24717,18.2,5.4,255722.7,102.1,14.7,5.0,11.8,16.4,14.4,13.3,16.0,9.3,10.3
1125,Новгородская область,2012-01-01,407,65.03,0.004940711462450593,0.0021159542953872196,0.03122590593677718,0.003926777155396431,0.10459183673469388,0.03295668549905838,0.0005896378658299152,0.014347202295552367,0.11477761836441894,0.23242467718794835,0.3902439024390244,0.11764705882352941,0.10043041606886657,0.03012912482065997,281044,344811,536.0,80.0,496.0,70.6,2950,11.0,4.1,271750.9,115.8,15.3,4.7,12.299999999999999,15.4,14.0,13.1,16.6,9.5,11.7
1126,Новосибирская область,2012-01-01,2757,101.75,0.006739580254212237,0.002685349701179131,0.04872349632193856,0.024623803009575923,0.03927068723702665,0.04786299765807962,0.001740921426367306,0.11904451116042292,0.13888526302049342,0.29395640255841277,0.07518600704868816,0.07309750685289126,0.17073489100639602,0.12909541835269547,1261395,1448066,3202.0,486.0,848.0,77.6,30575,23.4,5.6,269870.4,104.4,15.7,5.1,10.0,17.7,15.5,12.8,15.5,8.6,14.1
1127,Омская область,2012-01-01,822,41.64,0.0019103045380839201,0.0006787774860225425,0.005119352342401334,0.0012151287163292925,0.05579584775086505,0.02488608482299334,0.00020746592968350452,0.11100354953210713,0.09809616005162956,0.11100354953210713,0.2155534043239755,0.1665053242981607,0.2749273959341723,0.02291061632784769,912015,1061970,2181.0,140.0,385.0,71.6,20449,9.5,6.9,248940.0,88.3,16.7,5.6,9.6,17.1,14.899999999999999,13.3,15.7,8.1,11.0
1128,Оренбургская область,2012-01-01,1547,76.73,0.008294008294008294,0.0008014172431246837,0.03274826245729768,0.007915829176902653,0.05245573003675242,0.031101511879049675,0.0018454983363633739,0.052464947987336044,0.06874717322478517,0.2514699231117142,0.2885572139303483,0.1420171867933062,0.06512890094979647,0.13161465400271372,937513,1078573,2209.0,198.0,618.0,59.6,13411,8.0,5.4,311189.3,94.8,17.8,5.7,9.9,16.0,14.4,13.7,15.5,8.0,12.7
1129,Орловская область,2012-01-01,157,20.24,0.0015463917525773195,0.00044861337683523657,0.0037914691943127963,0.0015812431842966194,0.03966942148760331,0.01580135440180587,0.0006470755371866361,0.10596026490066225,0.09713024282560706,0.17660044150110377,0.2560706401766004,0.2119205298013245,0.06181015452538632,0.09050772626931568,349828,425998,,,,65.7,8394,3.1,5.3,187659.7,107.8,14.9,5.4,12.1,15.0,14.0,13.5,16.6,9.5,11.3
1130,Пензенская область,2012-01-01,388,28.35,0.0011872254541137363,0.000611046854199856,0.009749894022891056,0.0017550083082840126,0.04095904095904096,0.04258555133079848,0.00032523305755652424,0.03386960203217612,0.09483488569009314,0.15580016934801016,0.31837425910245554,0.1388653683319221,0.1896697713801863,0.06858594411515664,624836,743821,944.0,102.0,849.0,67.6,9035,9.6,4.9,174823.6,110.2,14.4,5.1,11.8,15.399999999999999,14.0,13.899999999999999,16.3,10.0,13.1
1131,Пермский край,2012-01-01,2420,91.86,0.007482993197278911,0.0024022780222624903,0.046511627906976744,0.006543237415421221,0.05813115541676676,0.1331696002183108,0.16731604608753015,0.04875346260387812,0.10282548476454294,0.039002770083102496,0.23401662049861496,0.10725761772853186,0.43257617728531855,0.03556786703601108,1209073,1425388,3136.0,165.0,4831.0,74.9,18389,15.3,6.3,326782.7,110.3,17.8,5.3,9.4,16.3,15.1,13.100000000000001,15.2,8.7,12.2
1132,Приморский край,2012-01-01,790,40.57,0.002404196415561708,0.0008502497608672548,0.016891891891891893,0.002575924843604563,0.06576271186440678,0.02573238321456849,0.0005983601450253199,0.04642982764685192,0.07879001055223356,0.10552233556102708,0.5022863172704889,0.1364755539922617,0.0914526908195568,0.03904326415758002,934507,1012756,2661.0,447.0,1431.0,76.3,13747,23.3,6.9,286057.3,103.2,15.6,5.6,8.5,17.3,15.899999999999999,13.7,14.7,9.7,14.2
1133,Псковская область,2012-01-01,103,15.57,0.000778816199376947,0.0007804370447450572,0.009027777777777777,0.000595022507373105,0.09042553191489362,0.009009009009009009,0.00012305140842395072,0.0316622691292876,0.158311345646438,0.27440633245382584,0.24274406332453827,0.17941952506596306,0.09498680738786279,0.018469656992084433,303882,357625,427.0,22.0,544.0,70.2,2666,11.7,6.6,161916.7,120.8,14.6,5.0,12.600000000000001,15.3,13.600000000000001,13.399999999999999,16.4,9.9,15.4
1134,Республика Адыгея,2012-01-01,59,13.28,0.0021150592216582064,0.00019887305270135897,0.0027548209366391185,0.0009504842943785643,0.09649122807017543,0.0228310502283105,0.00029612852258635174,0.10416666666666667,0.0625,0.020833333333333332,0.4375,0.22916666666666666,0.10416666666666667,0.041666666666666664,206848,237555,323.0,67.0,825.0,46.9,1812,12.4,8.1,147262.9,79.9,17.9,6.0,11.2,15.9,13.8,13.1,14.6,8.6,11.3
1135,Республика Алтай,2012-01-01,46,21.87,0.0012547051442910915,0.0003575259206292456,0.005128205128205128,0.0014258978700650566,0.03680981595092025,0.019417475728155338,0.00020720063818072018,0.04519774011299435,0.0903954802259887,0.15819209039548024,0.3615819209039548,0.2711864406779661,0.04519774011299435,0.02824858757062147,99544,110800,271.0,15.0,45.0,28.7,1116,3.8,11.6,145400.1,105.3,25.8,5.8,6.0,16.2,15.3,12.3,13.899999999999999,5.9,18.5
1136,Республика Башкортостан,2012-01-01,2505,61.68,0.0042404253887056605,0.0013692118873131522,0.01723244363824825,0.002436173890141726,0.04673937235699978,0.047820672478206726,0.0005767828543805411,0.06168155672500306,0.0944804797454412,0.19532492962917636,0.2898054093746176,0.10280259454167176,0.18798188716191408,0.06792314282217599,1898851,2162106,3476.0,315.0,2114.0,60.8,30460,9.4,6.1,282918.4,110.2,18.5,6.0,9.700000000000001,16.8,13.6,14.1,15.2,7.2,10.3
1137,Республика Бурятия,2012-01-01,493,50.73,0.004359855789385428,0.0009315530319833207,0.008118347465271514,0.006575559516735987,0.0628158844765343,0.013930950938824955,0.03155124635969631,0.12037037037037036,0.09722222222222222,0.10416666666666667,0.38425925925925924,0.2013888888888889,0.05324074074074074,0.03935185185185185,462158,509652,2047.0,653.0,2247.0,58.8,8916,5.1,7.9,169552.9,111.5,21.7,6.0,6.8999999999999995,18.700000000000003,15.0,12.2,14.0,6.6,17.7
1138,Республика Дагестан,2012-01-01,251,8.52,0.0011254924029262803,0.00015588100044426086,0.007249879168680522,0.00042071469718250605,0.10891089108910891,0.014122759369907659,0.0001794413014518682,0.02302158273381295,0.11510791366906475,0.08633093525179857,0.37410071942446044,0.18992805755395684,0.14964028776978416,0.0618705035971223,1416305,1529730,2072.0,306.0,547.0,45.1,16538,14.5,11.7,127528.7,118.4,26.7,8.9,4.9,19.799999999999997,14.3,13.3,9.8,4.1,7.0
1139,Республика Ингушетия,2012-01-01,54,12.21,0.0,0.00025210689332276883,0.015384615384615385,0.0003780388507618937,0.12280701754385964,0.0106951871657754,0.0002494683675965509,0.0,0.2028985507246377,0.057971014492753624,0.37681159420289856,0.2028985507246377,0.057971014492753624,0.10144927536231885,198558,243697,392.0,31.0,302.0,39.2,2027,0.7,47.7,85737.9,109.3,31.3,8.7,3.5999999999999996,19.5,13.5,12.3,9.2,3.5999999999999996,17.1
1140,Республика Калмыкия,2012-01-01,24,8.45,0.002205071664829107,0.00023340854275266475,0.001953125,0.00019751135690302193,0.045454545454545456,0.00684931506849315,0.00014245014245014244,0.1509433962264151,0.22641509433962265,0.07547169811320754,0.3018867924528302,0.1509433962264151,0.07547169811320754,0.018867924528301886,136469,147671,504.0,2.0,392.0,44.4,1818,4.5,13.1,125773.9,82.1,20.7,6.4,7.1,17.7,13.4,14.1,15.799999999999999,6.0,30.7
1141,Республика Карелия,2012-01-01,181,28.42,0.007425742574257425,0.0008193782967173657,0.021499448732083794,0.0021321961620469083,0.125,0.08695652173913043,0.00039481441966416475,0.11070110701107011,0.11808118081180811,0.2878228782287823,0.2656826568265683,0.11070110701107011,0.04428044280442804,0.06273062730627306,290190,346742,660.0,26.0,624.0,78.4,3568,5.6,7.0,251981.4,109.8,16.4,4.8,9.9,15.299999999999999,15.3,13.8,16.6,9.0,13.6
1142,Республика Коми,2012-01-01,194,22.03,0.00234192037470726,0.0006954102920723226,0.0036923076923076922,0.0009711457652441871,0.05405405405405406,0.02612562534741523,0.005104505097784682,0.05383580080753701,0.12382234185733512,0.19380888290713325,0.27994616419919244,0.06460296096904442,0.253028263795424,0.03095558546433378,415923,464716,863.0,36.0,1214.0,77.2,6117,14.2,6.4,541155.3,75.8,18.1,5.3,6.8,16.1,16.3,14.600000000000001,16.4,7.4,13.4
1143,Республика Марий Эл,2012-01-01,111,16.08,0.000561377245508982,0.0005944125222904696,0.0036659877800407333,0.0032002844697306427,0.05693950177935943,0.014056224899598393,0.00021781746896101068,0.03208556149732621,0.16042780748663102,0.0962566844919786,0.3850267379679144,0.1711229946524064,0.0748663101604278,0.08021390374331551,321371,368978,508.0,37.0,576.0,63.8,4445,4.6,6.5,169514.7,111.6,17.0,5.3,9.1,17.1,14.0,13.7,16.8,7.9,20.0
1144,Республика Мордовия,2012-01-01,96,11.73,0.0017234775947912676,0.0005256135527432985,0.0018569194683346365,0.0008970621215519175,0.13793103448275862,0.008588957055214725,0.2503262891595303,0.09207161125319693,0.1329923273657289,0.19437340153452684,0.1636828644501279,0.20460358056265984,0.1432225063938619,0.06905370843989769,376718,441848,407.0,26.0,320.0,61.0,7681,6.8,4.9,163399.0,89.2,14.5,5.3,11.0,16.0,14.1,14.6,16.6,8.9,18.0
1145,Республика Саха (Якутия),2012-01-01,83,8.69,0.0006379992344009187,0.0001628903259435422,0.0,0.0005591921318377685,0.03490759753593429,0.005494505494505495,0.012067519204905513,0.08097165991902834,0.16194331983805668,0.0,0.27530364372469635,0.27530364372469635,0.06477732793522267,0.1417004048582996,464145,491435,700.0,44.0,870.0,64.6,7154,6.4,8.0,566387.0,111.7,23.5,7.2,4.1,18.299999999999997,14.8,13.6,14.0,5.8999999999999995,16.7
1146,Республика Северная Осетия-Алания,2012-01-01,95,13.45,0.0014423076923076924,0.0001665348265956118,0.007554296506137866,0.00423728813559322,0.04285714285714286,0.014150943396226415,0.00040529562625632497,0.04580152671755725,0.061068702290076333,0.12213740458015267,0.3816793893129771,0.13740458015267176,0.183206106870229,0.06870229007633588,326924,379199,1223.0,48.0,241.0,63.9,5778,3.5,7.9,137721.8,102.8,19.9,6.8,10.3,16.6,14.0,13.6,12.8,7.3,10.4
1147,Республика Татарстан,2012-01-01,1255,32.84,0.0018613107090295212,0.0004992252283793334,0.009193288899103653,0.001382383554514702,0.03557888597258676,0.01370688356680223,0.0002805642093566225,0.05990943921978405,0.10727969348659004,0.1671891327063741,0.11842563566701497,0.16997561825148033,0.12678509230233367,0.2504353883664229,1766901,2055137,2306.0,301.0,4461.0,75.7,32881,7.5,4.1,376907.1,100.1,17.0,5.8,10.2,17.2,14.2,13.7,15.200000000000001,7.800000000000001,6.5
1148,Республика Тыва,2012-01-01,11,3.54,0.00019857029388403494,5.5651399632700765e-05,0.0,0.00011142061281337047,0.05063291139240506,0.003161222339304531,5.5250835444560836e-05,0.17391304347826086,0.08695652173913043,0.0,0.08695652173913043,0.34782608695652173,0.2608695652173913,0.043478260869565216,147812,162648,938.0,979.0,81.0,53.6,1497,4.2,18.4,120582.9,105.9,31.4,7.6,3.1,17.5,15.1,13.1,9.2,4.7,27.9
1149,Республика Хакасия,2012-01-01,95,17.82,0.0021008403361344537,0.0003414571684664305,0.011547344110854504,0.0009099466582993411,0.03858520900321544,0.014285714285714285,0.0002517125584114793,0.12941176470588237,0.09411764705882353,0.17647058823529413,0.3411764705882353,0.1411764705882353,0.09411764705882353,0.023529411764705882,247288,285737,730.0,55.0,1398.0,67.5,2445,12.8,7.9,245293.7,111.1,19.2,5.4,8.1,16.8,15.8,12.3,15.5,8.0,16.3
1151,Ростовская область,2012-01-01,648,15.23,0.0032176832680470063,0.0005430293388809007,0.005555555555555556,0.0017919667041025303,0.046163849154746424,0.0099805932908234,0.009218411713505114,0.12299465240641712,0.1265597147950089,0.0944741532976827,0.3868092691622103,0.1265597147950089,0.06417112299465241,0.0784313725490196,1972190,2282423,4398.0,503.0,1967.0,67.5,37033,12.8,6.0,198129.2,105.5,15.3,5.5,11.499999999999998,16.7,14.5,13.3,15.2,9.1,12.9
1152,Рязанская область,2012-01-01,198,17.3,0.0014118855089205495,0.0005934542001721018,0.00904109589041096,0.0011471813552840784,0.05698778833107191,0.019271948608137045,0.00014638838930946505,0.05851063829787234,0.10638297872340426,0.17553191489361702,0.30319148936170215,0.22340425531914893,0.09574468085106383,0.03723404255319149,521040,623610,,,,71.0,8208,9.7,4.6,221430.1,107.1,13.9,5.0,13.4,15.2,13.8,13.5,16.1,10.0,12.5
1153,Самарская область,2012-01-01,3759,116.98,0.006596491228070175,0.003043289236693373,0.05975994946304485,0.006867653352708742,0.04693877551020408,0.04852832577276084,0.2521164345216756,0.04484019716966131,0.10907934488789951,0.1504213706471617,0.43886150421370645,0.058514867228494194,0.14628716807123548,0.05199554778184131,1469559,1743730,4928.0,188.0,743.0,80.3,26615,13.7,3.4,291701.5,111.5,14.9,5.1,10.4,16.5,15.3,13.600000000000001,15.3,9.7,12.3
1154,Саратовская область,2012-01-01,1136,45.38,0.004651162790697674,0.0016240810304856126,0.022131001249330717,0.003990409316663813,0.05283757338551859,0.042444029850746266,0.03221342862835864,0.06726726726726727,0.15735735735735737,0.14894894894894894,0.2798798798798799,0.12972972972972974,0.10930930930930931,0.10750750750750751,1143585,1359720,2071.0,185.0,1317.0,74.8,20320,9.0,5.4,190850.1,105.7,15.2,5.4,11.3,16.1,14.399999999999999,13.9,15.100000000000001,9.6,15.9
1155,Сахалинская область,2012-01-01,72,14.6,0.0009693679720822024,0.0003379193820902727,0.00149402390438247,0.0006645622196378136,0.025974025974025976,0.004488778054862843,0.1251667521567308,0.08928571428571429,0.125,0.05357142857142857,0.2857142857142857,0.17857142857142858,0.16071428571428573,0.10714285714285714,237403,255899,683.0,96.0,704.0,80.3,2308,27.7,7.7,1298440.0,89.8,17.0,5.0,6.4,16.5,16.7,13.7,16.4,9.3,11.8
1156,Свердловская область,2012-01-01,5783,134.0,0.014151697062381594,0.0038029580026890933,0.036062462255198,0.010065593913480574,0.01569967624235572,0.10116876349289064,0.008983292674384255,0.11461847760780144,0.10666913158016361,0.07727503812913065,0.29985672690299026,0.11295466099736562,0.25123630817580994,0.03738965660673846,1978686,2337144,4281.0,861.0,5976.0,84.0,35677,29.4,5.8,344382.7,102.6,16.4,5.0,10.1,16.6,15.5,12.899999999999999,15.4,8.9,8.5
1157,Смоленская область,2012-01-01,182,18.66,0.0036496350364963502,0.00036391120566581757,0.009120171673819743,0.00036450106746741185,0.04206500956022945,0.020021074815595362,0.04186116021202677,0.04130808950086059,0.08950086058519793,0.23407917383820998,0.2891566265060241,0.1514629948364888,0.13080895008605853,0.06368330464716007,447291,527897,,,,72.6,6422,20.1,5.7,206391.7,70.5,14.0,5.0,11.399999999999999,16.1,14.5,13.8,16.700000000000003,9.399999999999999,14.8
1158,Ставропольский край,2012-01-01,192,6.88,0.0007741299834617685,0.00024909138257039664,0.002877877877877878,0.0005776451333397516,0.07046070460704607,0.004266666666666667,0.00022559300157324195,0.12716763005780346,0.12716763005780346,0.1329479768786127,0.31213872832369943,0.15028901734104047,0.09248554913294797,0.057803468208092484,1298155,1492630,3410.0,250.0,2284.0,57.4,18067,9.2,5.4,154811.0,105.2,17.4,6.4,10.2,17.5,14.6,12.9,14.1,8.0,13.7
1159,Тамбовская область,2012-01-01,116,10.78,0.0012396694214876034,0.0007757650983282262,0.004166666666666667,0.0008023714534067355,0.02912621359223301,0.0010582010582010583,0.0001652275259484826,0.058394160583941604,0.19464720194647203,0.1654501216545012,0.35036496350364965,0.17518248175182483,0.019464720194647202,0.0364963503649635,495883,579865,,,,58.8,7206,3.0,4.9,188418.7,105.4,13.9,5.2,13.2,14.7,13.7,14.0,16.4,9.8,9.4
1160,Тверская область,2012-01-01,719,53.9,0.008119766556711495,0.0028826964298913444,0.294478527607362,0.010109226121310714,0.0535077288941736,0.13774597495527727,0.0009609301792819349,0.05820827648931332,0.21282401091405184,0.08731241473396999,0.3165075034106412,0.08185538881309687,0.14006366530241018,0.10322874033651659,604340,729721,,,,74.9,7484,6.1,5.0,200327.2,97.2,14.7,4.7,12.7,15.3,14.100000000000001,13.399999999999999,16.3,9.6,11.4
1161,Томская область,2012-01-01,351,32.98,0.0018972562755399883,0.0005929599482507682,0.008778530223225483,0.002165674066053059,0.0492676431424767,0.08568443051201671,0.00032706652090324566,0.04525674499564839,0.07658833768494343,0.12184508268059181,0.26457789382071367,0.1288076588337685,0.2854656222802437,0.07745865970409051,499879,564366,1099.0,61.0,1044.0,70.9,16137,8.3,8.4,350116.9,107.0,17.0,5.6,7.999999999999999,19.7,15.3,12.5,14.7,8.1,16.2
1162,Тульская область,2012-01-01,576,37.59,0.01774076755973932,0.0018618555619656998,0.015669787884578637,0.0026616885463085632,0.031122031122031123,0.03734439834024896,0.05062732707479155,0.09621993127147767,0.13942071674030437,0.16102110947471773,0.4339715267550319,0.07461953853706431,0.053019145802650956,0.041728031418753066,689783,842653,,,,79.0,6507,3.5,4.6,202302.5,118.1,13.3,4.6,13.3,15.100000000000001,14.7,13.3,16.200000000000003,10.399999999999999,9.5
1163,Тюменская область без АО,2012-01-01,1315,94.95,0.0053986352250151165,0.002603591378167703,0.02404001290738948,0.009214398913289562,0.02945937196503723,0.03301476976542137,0.0009917117312268414,0.11335298118340513,0.14962593516209477,0.13511675357061892,0.3690773067331671,0.08252097030151893,0.10337791883926548,0.04692813420992972,649787,735221,1934.0,171.0,721.0,61.3,28233,13.3,,532020.4,110.1,18.5,5.5,7.8999999999999995,18.7,15.0,12.899999999999999,15.0,7.4,
1164,Удмуртская Республика,2012-01-01,528,34.79,0.003322896031695316,0.0010059200870698043,0.20754716981132076,0.003042028668078168,0.028536360846885548,0.037267080745341616,0.0005086243522120181,0.10749354005167959,0.12609819121447027,0.20465116279069767,0.25839793281653745,0.19224806201550387,0.07441860465116279,0.03669250645994832,698385,819307,1237.0,211.0,296.0,68.9,14083,8.3,6.0,245592.6,102.2,18.3,5.2,8.6,16.3,14.9,13.3,16.2,8.1,11.1
